序号,城市,本科院校,ing,2025届,,24届保研去向,2024届,,2023届,,2022届,,2021届,,2020届,,,,,,
,,,,保研人数,保研率,,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,,,,,
192,北京,北京化工大学,北京化工大学,782,20.15%,"北京化工大学2023届普通类696名同学保研去向具体如下：
★保研本校：443人，占比63.65%；对本校认可度较高！
★保研外校：253人；占比36.35%。
其中：双一流院校录取667人，占比99.55%；
985院校录取155人，占比23.13%；
211院校录取629人，占比93.88%。
目前统计到670人的具体录取去向，暂有26人未统计到。",,,696,18%,,16.94%,,16.9%,,16.9%,,,,,
193,四川,西南财经大学,西南财经大学,741,17.77%,"2023届640名同学保研去向如下：
保研本校：215人；占比33.6%；
保研外校：425人；占比66.3%。
保研外校425人中，目前统计到388人的录取去向，暂有37人未统计到。特",,18.96%,640,17.3%,617,16.6%,,14.4%,,12.8%,,,,,
194,陕西,陕西师范大学,陕西师范大学,686,14.32%,,,17.62%,391,18.8%,,8.84%,,,,,,,,,
195,上海,上海外国语大学,上海外国语大学,312,20.72%, ,,17.2%,479,15.7%,255,17.3%,,13.7%,,10.3%,,,,,
196,上海,东华大学,,,,"东华大学2023届514名同学保研去向具体如下：
★保研本校：267人，占比51.95%；
★保研外校：247人；占比48.05%。
其中：双一流院校录取501人，占比99.80%；
985院校录取188人，占比37.45%；
211院校录取485人，占比96.61%。
目前统计到502人的具体录取去向，暂有12人未统计到。",,14.71%,514,14.7%,487,14.03%,,12.59%,,11.2%,,,,,
197,上海,上海体育大学,上海体育大学,135,9.97%,"保研去向人数最多的院校是上海体育学院本校，其次是北京体育大学，再就是上海交通大学。
●保研至上海体育学院本校的71人里，有30人选择体育专业，21人选择体育教育训练学。
●保研至北京体育大学的4人中有2人被康复医学与理疗学录取。",,,192,14.21%,,9.8%,,9.35%,,6%,,,,,
198,陕西,长安大学,长安大学,1023,17.45%,"长安大学保研去向最多的院校是长安大学本校，其次是华南理工大学，然后是武汉大学。
●保研至长安大学本校的83人中，有40人被土木工程专业录取，28人选择交通运输工程专业。
●保研至华南理工大学的23人分散在建筑学、土木水利、电子信息等13个专业。",,15.22%,877,14.11%,823,13.6%,,12.1%,,,,,,,
199,山东,北京交通大学(威海校区）,,,,北京交通大学（威海校区）的学生通常会选择国内外著名的高校或科研机构进行深造。其中，国内主要去往清华大学、北京大学、上海交通大学等顶尖高校.,,,71,,,,,,,,,,,,
200,辽宁,东北财经大学,东北财经大学,328,13.74%,"东北财经大学2023届295名同学保研去向具体如下：
★ 保研本校：61人，占比20.68%；
★ 保研外校：234人；占比79.32%。
其中：双一流院校录取205人，占比74.55%；
985院校录取68人，占比24.73%；
211院校录取201人，占比73.09%。
目前统计到275人的具体录取去向，暂有20人未统计到。",,14.06%,295,14%,309,14.7%,,14.4%,,,,,,,
201,河南,郑州大学,郑州大学,1658,15.84%,在2022届推免生中，有保研到北京大学，浙江大学，复旦大学，南开大学等头部院校的学生，其中，有世界史专业的同学保研到厦门大学，有文学院的同学保研到中南大学，有临床医学方向的同学保研到浙江大学、石河子大学，还有交通运输专业的同学保研到南京航空航天大学等等。,,14.97%,1610,13.66%,,,,,,,,,,,
202,上海,上海大学,,,,"上海大学2023届690名保研同学去向总体情况：
保研本校316人，占比45.8%；
保研外校374人；占比54.2%；
985院校录取249人，占比36.1%；
科研院所录取21人，占比3.05%；
双一流院校录取651人，占比94.3%；
暂未统计到去向人数：13人；占比1.9%。
保研外校374人中，目前统计到361人的录取去向，暂有13人未统计到。",,14.37%,690,13.5%,624,13.1%,,11.6%,,10.4%,,,,,
203,北京,北京中医药大学,北京中医药大学,290,14.61%,"北京中医药大学2023届234名同学保研去向具体如下：
★ 保研本校：118人，占比50.43%；
★ 保研外校：116人；占比49.57%。
其中：双一流院校录取207人，占比90.00%；
985院校录取41人，占比17.83%；
211院校录取168人，占比73.04%。
目前统计到230人的具体录取去向，暂有4人未统计到。",,16.41%,234,12.8%,229,14.4%,,14.4%,,13%,,,,,
204,北京,中央美术学院,,,12%, ,,,99,12.2%,,,,,,,,,,,
205,北京,首都师范大学,,,11.96%, ,,,351,11.57%,,,,9.5%,,8.3%,,,,,
206,天津,河北工业大学,河北工业大学,724,12.47%,统计到的河北工业大学2023届611名保研同学的总体去向：985院校录取425人，占比69.5%；中科院录取35人，占比5.7%；普通高校录取4人，不足1%。保研本校40人，录取人数最多的院校是天津大学达88人。,,12.03%,662,11.32%,592,10.11%,,9.75%,,9.1%,,,,,
207,山西,太原理工大学,太原理工大学,938,11.87%, ,,10.16%,769,9.86%,,9.6%,,7.6%,,7.12%,,,,,
208,广东,南方医科大学,南方医科大学,351,11.13%, ,,12.77%,269,9.3%,,8.26%,,8.12%,,,,,,,
209,广东,广州中医药大学,广州中医药大学,254,8.85%,"在已有数据中广州中医药大学推免生保研去向最多的院校是广州中医药大学本校，其次是深圳大学，再就是中国药科大学。
保研去向广州中医药大学本校的推免生中选择中医的最多，有73人，其次是选择临床检验诊断学以及护理学专业的分别有3人，中医心理学、中药学分别有2人。
保研至深圳大学的推免生中有4人选择计算机科学与技术，选择体育学、软件工程专业的分别有2人；
保研至中国药科大学的推免生选择中药药理学、药学专业的分别有3人，中药分析学、药物化学、药物代谢动力学等专业分别有1人选择。",,9.82%,229,9.24%,200,8.34%,,7.29%,,,,,,,
210,福建,福建师范大学,,,, ,,9.26%,473,8.09%,,7.37%,,7.24%,,7.1%,,,,,
211,河北,东北大学秦皇岛分校,,,,"2021届保研去向
目前已知：保研北京大学15人、保研清华大学22人（通过姓名专业比对），其他暂无信息。
不过按照2020届保研情况来看，学校应该差别不大，去年保研北京大学14人、清华大学22人、中国科学技术大学36人、中国科学院大学35人、南京大学34人。

",,,263,,,,,,,,,,,,
212,北京,华北电力大学,华东师范大学,963,35.48%,"华北电力大学动力工程系2023届共有61人获得保研资格，具体保研去向情况：

保研本校4人，占比6.5%；

保研外校57人，占比93.5%。

保研西安交通大学人数超多，达27人。

保研外校具体去向为：西安交大27人，中国科学院大学4人，天津大学3人，浙大3人，上交2人，北航2人，华科大2人，西工大2人，川大1人，重大1人，中科大1人，山大1人，华东师大1人和清华大学1人。",480,15.1%,,11.53%,350,10.74%,,9.82%,,12%,,,,,
213,山东,山东农业大学,山东农业大学,569,7.91%,"保研至华中农业大学的15人分散在作物栽培学与耕作学、果树学、风景园林等9个专业。
保研至山东大学的8人主要在细胞生物学、会计、公共卫生等7个专业。",,7.24%,,6.55%,,5%,,5.2%,,,,,,,
214,四川,成都理工大学,成都理工大学,595,7.57%,"成都理工大学2023届464名保研同学录取去向总体情况：
保研本校：63人；
保研外校：401人（80所院校）；
暂未统计到去向人数：18人。
其中：211院校录取330人，其中：985院校录取187人。科研院所录取21人。
拟录取人数最多的院校是本校，达63人，占比13.58%。外校中，川大和西南交大录取人数最多，分别是51和50人，电子科大录取39人，西财录取19人，中科院录取18人，重大录取16人。",,7.26%,464,6.27%,,5.2%,,4.3%,,3.41%,,,,,
215,江西,江西财经大学,江西财经大学,399,7.38%,"保研去向人数最多的院校是中南财经政法大学，其次是西南财经大学和厦门大学，再就是深圳大学。除列举的院校之外，还有山东大学、中山大学、东南大学等院校。（完整数据请加学姐了解）
●保研至中南财经政法大学的20名推免生中，税务和会计专业各有4人。
●保研至西南财经大学的18名推免生中，有4人选择会计专业，3人选择金融专业。
●保研至厦门大学的18人中，有4人是应用统计专业的推免生。

",,4.67%,307,5.27%,,4.75%,,5.2%,,4%,,,,,
216,北京,首都经济贸易大学,首都经济贸易大学,241,9.96%,	,,,182,7.39%,176,7.15%,,5.9%,,,,,,,
217,河北,河北医科大学,,,,"在已有数据中河北医科大学推免生保研去向最多的院校是河北医科大学本校，其次是中国药科大学以及北京协和医学院。
保研去向河北医科大学的推免生中选择临床检验诊断学专业的是最多，有4人，其次是分别有3人选择了医学技术、外科学、护理学、专业；；
保研至中国药科大学的推免生中有4人选择了中药学，另分别有1人选择了中药分析学、药物化学、药物分析学、药物代谢动力学以及药理学专业；
保研至北京协和医学院的推免生则分别选择了重症医学、药物分析学、药剂学、外科学、生物医学工程、内科学、麻醉学等专业。",,7.98%,176,7.1%,,,,6.2%,,,,,,,
218,天津,天津中医药大学,天津中医药大学,249,8.97%,"天津中医药大学保研去向最多的院校是天津中医药大学本校，其次是中国药科大学，再就是天津大学、广州中医药大学、北京协和医院。
●保研至天津中医药大学本校的26人里，有18人选择了中医内科学专业，7人选择针灸推拿学，还有1人选择中医妇科学。
●保研至中国药科大学的10人分散在药理学、中药学、社会与管理药学等7个专业。",,8.59%,278,7%,,3.67%,,,,,,,,,
219,辽宁,辽宁师范大学,辽宁师范大学,276,7.49%,"在已有数据中辽宁师范大学推免生保研去向最多的院校是上海大学，其次是东华大学以及北京师范大学。
保研去向上海大学的推免生中分别有2人选择戏剧与影视学、国际商务专业，另外则是分别选择了新闻与传播以及情报学；
保研至东华大学的推免生中有3人选择了东华大学专业，1人选择了艺术设计专业；
保研去向北京师范大学的推免生有2人选择自然地理学，1人选择了自然资源专业。",,7.37%,237,6.74%,,6.5%,,6.5%,,,,,,,
220,广东,广州医科大学,,,,"在已有数据中广州医科大学推免生保研去向最多的院校是广州医科大学本校，其次是中山大学，再就是北京协和医学院。
保研去向广州医科大学本校的推免生中选择临床医学的最多，有19人，另外2人分别选择了生物学和口腔医学专业；
保研至中山大学的推免生中有13人选择临床医学，选择口腔医学、基础医学专业的分别有1人；
保研至北京协和医学院的推免生选择内科学的有3人，选择肿瘤学的有2人，选择药学、药剂学、外科学、麻醉学以及妇产科学专业的分别有1人。",,,139,6.66%,,4.4%,,3.52%,,3.5%,,,,,
221,上海,上海中医药大学,,,, ,,,,6.61%,,9.54%,,,,13.6%,,,,,
222,广东,暨南大学,暨南大学,469,10.01%,"暨南大学2023届保研去向具体如下：
★ 保研本校：98人，占比22.17%；
★ 保研外校：344人；占比77.83%。
其中：双一流院校录取420人，占比98.13%；
985院校录取243人，占比56.78%；
211院校录取400人，占比93.46%。
目前统计到428人的具体录取去向，暂有14人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在一定偏差，此结果仅供参考。",,9.83%,442,9.51%,,8.13%,,5%,,,,,,,
223,宁夏,宁夏大学,宁夏大学,340,6.26%, ,,6.63%,308,6.42%,283,6.09%,,5.9%,,5.9%,,,,,
224,辽宁,沈阳农业大学,沈阳农业大学,299,8.88%,"保研去向人数最多的院校是沈阳农业大学本校，其次是华中农业大学。
●保研至沈阳农业大学本校的137人分布在49个专业，其中有4个专业人数在10人以上 ，分别是园艺、食品质量与安全、农学、植物保护。其余专业录取人数在1-9人不等。
●保研至华中农业大学的3人分别在资源利用与植物保护、农林经济管理、生物医药专业。",,8.81%,215,6.4%,,,,4.4%,,,,,,,
225,江西,江西师范大学,江西师范大学,459,6.86%,"保研去向人数最多的院校是华南师范大学，其次是江西师范大学本校，再就是华南理工大学。除列举的院校之外，还有上海大学、中国科学院大学等院校。
●保研去向华南师范大学的共有17人，选择学科教学（语文）、学科教学（地理）的各有3人。
●保研去向江西师范大学本校的9人中，选择英语（师范）专业、朝鲜语专业的最多。
●保研去向华南理工大学的3人都选了理学类专业。",,,384,5.57%,,5.26%,,5.3%,,,,,,,
226,四川,西南大学(荣昌校区）,,,,,,,68,,,,,,,,,,,,
227,福建,福建中医药大学,福建中医药大学,170,6.55%,"在已有数据中福建中医药大学推免生保研去向最多的院校是福建中医药大学本校，其次是北京中医药大学，再就是厦门大学以及福建医科大学。
保研去向福建中医药大学本校的推免生中选择针灸推拿学专业的是最多的有12人，其次是选择康复医学与理疗学专业的有8人，中西医结合临床6人，选择中医内科学专业的有5人。
保研至北京中医药大学的推免生中有3人选择中医临床基础，2人选择针灸推拿学专业，选择中医诊断学、中医基础理论以及公共管理专业的分别有1人；
保研至厦门大学的推免生选择内科学专业的有2人，药学、药理学、外科学以及公共卫生专业的分别有1人。保研至福建医科大学的推免生选择内科学专业的人数有3人，占最多数。",,,126,5.8%,,,,6%,,4.7%,,,,,
228,四川,西南科技大学,西南科技大学,527,6.71%,"西南科技大学2023届保研去向总体情况：
★保研本校：26人，占比6%；
★保研外校：410人，占比94%，
暂有32人未统计到具体录取去向。
已统计去向的404名同学，被双一流高校录取303人，占比73%；其中211院校录取294人，985院校录取139人，中科院录取7人。",,,436,5.8%,414,5.1%,,4.9%,,4.8%,,,,,
229,山东,山东师范大学,,,,"山东师范大学2023届普通类497名同学保研去向具体如下：
★ 保研本校：153人，占比30.78%；
★ 保研外校：344人；占比69.22%。
其中：双一流院校录取305人，占比65.03%
985院校录取149人，占比31.77%；
211院校录取266人，占比56.72%。
目前统计到469人的具体录取去向，暂有28人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在一定偏差，此结果仅供参考。",,8.4%,497,5.22%,424,6%,,6%,,,,,,,
230,山东,青岛大学,青岛大学,554,7.53%,"青岛大学2023届457名同学保研去向如下：
★ 保研本校：52人，占比11.38%；
★ 保研外校：405人；占比88.62%；
其中：双一流院校录取372人，占比82.67%；
985院校录取208人，占比46.22%；
211院校录取351人，占比78.00%。
保研外校405名同学中，目前统计到398人的录取去向。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果有一定偏差，仅供参考。",,6.83%,457,5.88%,394,4.9%,,4.5%,,,,,,,
231,上海,华东政法大学,,,,"在已有数据中华东政法大学推免生保研去向最多的院校是华东政法大学本校，其次是北京大学。
保研去向华东政法大学本校的推免生中选择法律(法学)专业的有23人，占多数，其次是上岸经济法学专业的有16人，国际法学有7人，法律与金融有6人，刑法学、诉讼法学分别有5人选择；
保研去向北京大学的3名推免生其种2人选择了法律硕士（法学）专业，另外一人选择了法律硕士（非法学）",,,169,5.58%,164,8.52%,,4.45%,,,,,,,
232,四川,西南石油大学,西南石油大学,605,7.62%,"据不完全统计，目前统计到425名同学的保研去向，其中10名同学暂时未统计到。因存在大量同名同姓情况，所以数据存在一定偏差。
保研录取人数最多的是本校，有95人，占比22%，充分说明本校学生对本校的研究生水平的高度认可。
保研外校人数最多的是四川大学达39人，，超30人的还有西南交大34人，电子科技大学30人。
录取人数超10人的院校还有中石大（北京）16人、中石大（华东）14人、西安电子科技大学14人、西安交大10人。",,,435,5.57%,,4.54%,,3.8%,,,,,,,
233,江苏,江苏大学,江苏大学,434,6.26%,"江苏大学2023届320名同学保研去向具体如下：
★ 保研本校：38人，占比11.88%；对本校认可度超高！
★ 保研外校：282人；占比87.12%。
其中：双一流院校录取268人，占比86.73%；
985院校录取121人，占比39.16%；
211院校录取246人，占比79.61%。
目前统计到309人的具体录取去向，暂有11人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在一定偏差，此结果仅供参考。",,,320,5.52%,301,4.9%,,4%,,4.9%,,,,,
234,江西,江西农业大学,,,, ,,5.33%,255,5.31%,,4.71%,,4.3%,,,,,,,
235,吉林,吉林农业大学,吉林农业大学,298,6.48%, ,,5.38%,219,5.12%,,,,,,,,,,,
236,河北,河北师范大学,河北师范大学,352,5.96%,"河北师范大学2023届299名同学保研去向如下：
★ 保研本校：30人，占比10.03%；
★ 保研外校：269人；占比89.97%；
其中：双一流院校录取248人，占比84.93%；
985院校录取113人，占比38.70%；
211院校录取226人，占比77.40%。
保研外校299名同学中，目前统计到292人的录取去向。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果有一定偏差，仅供参考。",,,299,5.07%,,4.32%,,5.3%,,5.3%,,,,,
237,黑龙江,黑龙江大学,黑龙江大学,159,2.35%,"在已有数据中黑龙江大学推免生保研去向最多的院校是黑龙江大学本校，其次是吉林大学。
保研去向黑龙江大学的推免生中有3人选择了生物学专业，2人选择了生态学专业，分别有1人选择了中国哲学、中国古代文学、马克思主义中国化研究、马克思主义哲学等专业；
保研至吉林大学的推免生分别选择了生药学、新闻与传播、生物学、以及马克思主义哲学专业。",,6%,66,5%,,6.29%,,6%,,,,,,,
238,上海,上海师范大学,,,, ,,4.42%,,5%,,,,4.04%,,,,,,,
239,陕西,陕西科技大学,山西医科大学,306,9.1%, ,,,213,4.8%,211,4.66%,,4.7%,,,,,,,
240,河南,河南农业大学,河南农业大学,432,5.87%,"在已有数据中河南农业大学推免生保研去向最多的院校是华中农业大学，其次是西北农林科技大学，再就是中国农业大学以及南京农业大学。
① 保研去向华中农业大学的推免生中选择作物遗传育种专业的有7人，上岸选择预防兽医学、基础兽医学、果树学专业的分别有5人，选择生物化学与分子生物学专业的有3人；
② 保研去向西北农林科技大学的推免生中有3人选择了风景园林专业，选择应用经济学、农业管理、农林经济管理、环境科学、果树学专业的分别有2人；
③ 保研去向中国农业大学的推免生中有3人选择了机械专业，2人选择了农药学专业；保研去向南京农业大学的推免生选择植物营养学、预防兽医学专业的分别有2人。",,4.56%,341,4.85%,285,4.24%,,3.45%,,,,,,,
241,四川,西华师范大学,西华师范大学,397,6.02%,"西华师范大学2023届305名同学保研去向具体如下：
★ 保研本校：9人，占比2.95%；
★ 保研外校：296人；占比97.05%。
其中：双一流院校录取221人，占比78.37%；
985院校录取44人，占比15.60%；
211院校录取186人，占比65.96%。
目前统计到282人的具体录取去向，暂有23人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在一定偏差，此结果仅供参考。",,5.02%,305,4.17%,280,3.7%,,3.97%,,,,,,,
242,山东,山东中医药大学,,,, ,,5.55%,,4.5%,,4.05%,,3.5%,,,,,,,
243,山东,山东科技大学,,,, ,,,,4.5%,,4.7%,,,,,,,,,
244,河北,河北农业大学,河北农业大学,493,5.83%, ,,5.42%,397,4.5%,338,4.24%,,4.1%,,4.1%,,,,,
245,浙江,浙江工商大学,,,,浙江工商大学保研去向最多的院校是南京师范大学和广东外语外贸大学，各有3人。他们的专业主要是英语语言文学、新闻与传播、法学等。,,4.6%,193,4.47%,170,4.7%,,4.1%,,,,,,,
246,江西,江西理工大学,江西理工大学,370,6.08%,"在已有数据中江西理工大学推免生保研去向最多的院校是江西理工大学本校，其次是中南大学以及深圳大学。
保研去向江西理工大学的推免生中选择材料科学与工程专业的是最多，有9人，其次是冶金工程专业有7人，机械工程、化学工程与技术专业分别有2人选择；
保研至中南大学的推免生中有7人选择了材料科学与工程专业，有5人选择了机械专业，另分别有3人选择机械、化学工程与技术专业；",,,272,4.46%,,3.81%,,3.3%,,,,,,,
247,山东,山东艺术学院,,,, ,57,4.01%,,4.5%,,3.58%,,3.1%,,,,,,,
248,内蒙古,内蒙古农业大学,,,, ,,,240,4.15%,,,,,,,,,,,
249,辽宁,沈阳建筑大学,,,,"保研去向人数最多的院校是华南理工大学，其次是东南大学和大连理工大学。
●保研至华南理工大学的8人分散在建筑学、机械工程、风景园林等7个专业。
●保研至东南大学的6人里有3人被土木水利专业录取。",,,113,4.06%,,,,3.1%,,,,,,,
250,山东,济南大学,济南大学,449,5.27%,"济南大学2023届349名同学保研去向具体如下：
★ 保研本校：21人，占比6.02%；对本校认可度超高！
★ 保研外校：328人；占比93.98%。
其中：双一流院校录取284人，占比86.85%
985院校录取159人，占比48.62%；
211院校录取261人，占比79.82%。
目前统计到327人的具体录取去向，暂有22人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在一定偏差，此结果仅供参考。",,4.75%,349,4.02%,,3.05%,,2.2%,,,,,,,
251,吉林,长春中医药大学,长春中医药大学,126,5.41%,"长春中医药大学保研去向最多的院校是长春中医药大学本校，其次是吉林大学，其余保研去向比较分散。
●保研至长春中医药大学本校的29人中，有11人选择中医内科学专业，其余中药学、护理学、药理学等9个专业录取人数均在5人以内。
●保研至吉林大学的6人中有2人被药学专业录取，神经病学、内科学、护理、病原生物学四个专业各1人。",,5.38%,82,4.01%,,,,2.7%,,,,,,,
252,辽宁,沈阳工业大学,沈阳工业大学,260,5.06%,"学校2023届推荐免试公示共计205名同学。
保研率6.11%。
2023届205名同学中：
20人保研本校；
185人保外。 推免去向待整理。",,,205,3.92%,,,,5.52%,,,,,,,
253,天津,天津师范大学,天津师范大学,314,4.77%, ,,4.99%,257,4%,,3.5%,,3.8%,,,,,,,
254,辽宁,大连外国语大学,大连外国语大学,179,5.65%, ,,4.95%,117,3.9%,,,,3.1%,,,,,,,
255,上海,上海对外经贸大学,上海对外经贸大学,503,21.14%,"往届保研去向　
2022届75名同学保研去向：
保研率3.42%。
保研本校9人。
保研外校66人。",,,86,3.93%,72,3.42%,,3.1%,,3.1%,,,,,
256,四川,西南医科大学,西南医科大学,231,6.42%,"西南医科大学2023届普通类139名同学保研去向具体如下：
★保研本校：25人，占比17.99%；
★保研外校：114人；占比82.01%。
目前统计到124人的具体录取去向，暂有15人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在一定偏差，此结果仅供参考。",,5.28%,139,3.78%,,0.9%,,1.4%,,1.4%,,,,,
257,辽宁,辽宁工程技术大学,辽宁工程技术大学,263,4.07%, ,,,239,4.15%,,4%,,4.03%,,,,,,,
258,黑龙江,黑龙江中医药大学,黑龙江中医药大学,173,6.26%, ,,,,3.7%,,,,3.13%,,,,,,,
259,山西,山西师范大学,山西师范大学,210,5.25%, ,,4.44%,155,3.66%,,3.37%,,3.1%,,,,,,,
260,四川,西南民族大学,西南民族大学,302,4.31%,"西南民族大学2023届247名同学保研去向如下：
★ 保研本校：15人，占比6.07%；
★ 保研外校：232人；占比93.93%；
其中：双一流院校录取190人，占比77.87%；
985院校录取79人，占比32.37%；
211院校录取185人，占比75.81%。
保研外校232名同学中，目前统计到229人的录取去向。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果有一定偏差，仅供参考。",269,3.91%,247,3.59%,251,3.64%,,3.21%,,3%,,,,,
261,湖北,中南民族大学,,,,"中南民族大学2023届214名同学保研去向如下：
★ 保研本校：13人，占比6.07%；
★ 保研外校：201人；占比93.93%；
其中：双一流院校录取189人，占比88.32%；
985院校录取99人，占比46.26%；
211院校录取185人，占比86.45%。
保研外校201名同学中，目前统计到201人的录取去向。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果有一定偏差，仅供参考。",,4.17%,214,3.52%,264,3.36%,,3.02%,,2.7%,,,,,
262,内蒙古,内蒙古工业大学,内蒙古工业大学,194,3.59%,"保研去向人数最多的院校是西安电子科技大学，其次是大连理工大学，再就是中南大学。
●保研去向西安电子科技大学的14人里，5人选择了通信工程(含宽带网络、移动通信等)专业，其余机械、软件工程等专业人数较少。
●保研去向大连理工大学的8人分散在化学工程、传播与海洋工程、环境工程等专业。
●保研去向中南大学的7人有2人被资源与环境专业录取。",,,192,3.96%,,,,3.2%,,3.2%,,,,,
263,湖北,湖北工业大学,湖北工业大学,247,5.1%, ,,3.5%,162,3.29%,,2.93%,,1.55%,,1%,,,,,
264,北京,北京建筑大学,北京建筑大学,97,4.13%, ,,4.23%,74,3.47%,,,,1.7%,,,,,,,
265,辽宁,沈阳航空航天大学,,,, ,133,,,3.3%,,,,1.84%,,,,,,,
266,陕西,西北政法大学,,,, ,,3.42%,100,3.27%,,,,2.7%,,2.7%,,,,,
267,陕西,西安美术学院,西安美术学院,64,3.79%,,,,,3.3%,,,,3%,,,,,,,
268,四川,成都体育学院,成都体育学院,103,3.73%, ,98,4.36%,,3.2%,,3.77%,,,,,,,,,
269,河南,河南科技大学,河南科技大学,410,4.12%,"河南科技大学2023届317名同学保研去向如下：
★ 保研本校：60人，占比18.93%；
★ 保研外校：257人；占比81.07%.
保研外校257名同学中，目前统计到244人的录取去向，暂有13人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果有一定偏差，仅供参考。",,,317,3.36%,256,2.8%,,2.4%,,2.4%,,,,,
270,内蒙古,内蒙古科技大学,内蒙古科技大学,260,4.86%,"保研去向人数最多的院校是北京科技大学，其次是中南大学，再就是中国矿业大学（北京）。
●保研去向北京科技大学的12人里，有4人选择冶金工程专业，3人选择材料科学与工程专业。
●保研去向中南大学的10人中有4人被资源与环境专业录取。",,,122,3.14%,,,,2.1%,,2.1%,,,,,
271,重庆,重庆师范大学,重庆师范大学,213,3.43%,"保研去向最多的院校是重庆师范大学本校，其余保研去向分布比较分散。
●保研去向重庆师范大学本校的同学中人数占多数的是小学教育专业的同学，有15人。其他保研至重庆师范大学音乐、音乐与舞蹈学、美术学等专业的推免生均不超过5人。
●保研至长安大学、西南大学、西藏民族大学等学校的同学的专业有外国语言文学、美术学、民族学等专业。",,,99,3.12%,99,2.8%,,1.5%,,1.32%,,,,,
272,江西,南昌航空大学,,,,"南昌航空大学2023届193名同学保研去向如下：
★ 保研本校：73人，占比37.8%；
★ 保研外校：120人；占比62.2%；
其中：双一流院校录取114人，占比59.1%；
985院校录取60人，占比31.1%；
211院校录取102人，占比52.85%。
保研外校120名同学中，目前统计到120人的录取去向。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果有一定偏差，仅供参考。",,,193,3.75%,,3.61%,,2.3%,,2.3%,,,,,
273,浙江,杭州电子科技大学,杭州电子科技大学,216,5.01%,"在已有数据中杭州电子科技大学推免生保研去向最多的院校是杭州电子科技大学本校，其次是中南财经政法大学以及西安电子科技大学。
保研去向杭州电子科技大学本校的推免生中选择最多的是管理科学与工程专业有2人，选择计算机科学与技术专业的有1人；
保研至中南财经政法大学的3名推免生分别选择了税务、审计学、会计；
保研至西安电子科技大学的3名推免生分别选择了信息与通信工程、软件工程以及软件工程。",,2.74%,110,3%,,2.27%,,1.5%,,1%,,,,,
274,湖南,长沙理工大学,长沙理工大学,285,3.99%,"长沙理工大学2023届195名同学保研去向如下：
★ 保研本校：62人，占比31.80%；
★ 保研外校：133人；占比68.21%。
其中：双一流院校录取119人，占比63.98%；
985院校录取90人，占比48.39%；
211院校录取116人，占比62.37%。
目前统计到186人的具体录取去向，暂有6人未统计到。特别说明：因存在大量同名同姓的情况，通过姓名及专业的比对结果故存在偏差，仅供参考。",,,195,2.93%,177,2.7%,,2.4%,,2.4%,,,,,
275,河北,石家庄铁道大学,,,,"保研去向人数最多的院校是北京交通大学，其次是西南交通大学，再就是天津大学。
●保研至北京交通大学的12人分布在载运工具运用工程、土木工程、交通运输等9个专业。
●保研至西南交通大学的9人分别在交通工程、建筑学、土木水利等6个专业。",,,143,2.89%,,,,1.6%,,1.6%,,,,,
276,广西,广西中医药大学,广州中医药大学,254,8.85%,"广西中医药大学推免生保研去向最多的院校是广西中医药大学本校，其次是广州中医药大学，再就是浙江中医药大学、深圳大学以及湖南师范大学。
保研去向广西中医药大学本校的推免生中选择针灸推拿学的最多，有5人，其次是选择中医内科学专业的有4人，中药学2人。选择中医骨伤科学、中西医结合临床、护理学等专业的分别有1人。
保研至广州中医药大学的推免生中有5人选择中医，选择中药学、社会医学与卫生事业管理专业的分别有1人；",,,59,2.8%,,,,1.5%,,,,,,,
277,辽宁,大连海洋大学,大连海事大学,641,14.73%, ,,,92,2.35%,,2.22%,,1.5%,,,,,,,
278,山西,山西财经大学,山西财经大学,200,4.63%, ,,,120,2.72%,,,,1.7%,,,,,,,
279,安徽,安徽中医药大学,,,,"推免生去向最多的安徽中医药大学本校，其次是河海大学、安徽大学。
保研到 安徽中医药大学 的推免生中选择针灸推拿专业占最多，有6人，另外有2人选择中医内科学。
保研到河海大学的推免生分别选择了行政管理、情报学以及计算机科学与技术这3个专业；保研到安徽大学的推免生则有2人选择计算机科学与技术专业，另外1人选择了公共管理专业。",135,4%,120,3.26%,83,2.38%,,2.4%,,,,,,,
280,江西,华东交通大学,华东交通大学,203,4.15%, ,,2.74%,134,2.69%,,2.24%,,2.2%,,,,,,,
281,河北,河北中医学院,,,,,,,48,2.68%,,,,1.6%,,1.6%,,,,,
