序号,城市,本科院校,ing,2025届,,24届保研去向,2024届,,2023届,,2022届,,2021届,,2020届,,,,,,
,,,,保研人数,保研率,,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,,,,,
48,陕西,西北农林科技大学,西北农林科技大学,1373,25.49%,"西北农林科技大学每年的保研院校和去向基本处于稳定状态，通常一半以上的同学保研至本校。
保研外校中拟录取人数较多共有10所高校，分别是西安交大、浙大、武大、中科院、天大、南大、复旦、清华、中大和中国农大。
总体来说，西北农林科技大学相当一部分部分同学可以保研至北京大学、清华大学、中国人民大学、中国科学院大学、南京大学等名校，保研质量比较高；保研率和保研名额逐年递增，保研形势也很可观。",1281,23.3%,1178,22.8%,1115,20.45%,,19.9%,,20.1%,,,,,
49,辽宁,大连理工大学,大连理工大学,1482,23.67%,"保研本校人数约为五分之三，其余同学选择保研外校，且基本为双一流顶尖高校。
其中，保研外校中人数较多的是北京大学、清华大学、复旦大学、上海交通大学、中国人民大学、浙江大学、南京大学等国内顶尖院校。",1440,23.06%,1339,21.69%,1189,19%,,19%,,18%,,,,,
50,吉林,吉林大学,吉林大学,2105,21.68%,"1.保研本校比例
从历年推免去向来看，吉林大学整体保研质量很高，保研本校比例较高，2022届共有853人保研本校，占比39.69%；2020届共有972人保研本校，占比48.64%；2019届共有838人保研本校，占比46.38%。
2.近几年保研至清北复交人人数
在外保的学生中，每年都有不少学生保研到清北复交人这些顶尖院校，尤其是2022届保研至复旦大学和上海交通大学的人数超过60人。",2290,23%,2277,22.78%,2149,20.79%,,20%,,19.7%,,,,,
51,山东,中国海洋大学,中国海洋大学,979,22.36%,"中国海洋大学保研同学每届的保研院校和去向基本处于稳定状态，通常一半以上的同学保研至本校。在2024届推免人数中，通过统计得知，保送top院校的众多，如北京大学、清华大学、复旦大学、上海交通大学、南京大学、中国人民大学、同济大学等。
总体来说，中国海洋大学的学校实力和推免生去向较为可观，各个学院都有去到头部院校的同学。",923,22.5%,868,22.79%,835,21.84%,,20.4%,,17.5%,,,,,
52,山东,山东大学（威海校区）,,509,16%,山东大学、中国科学院大学、复旦大学、西安交通大学、中国科学技术大学、清华大学、北京大学、上海交通大学、浙江大学、华中科技大学,533,15.71%,496,13.88%,464,12.89%,,12.4%,,,,,,,
53,黑龙江,哈尔滨工程大学,,1179,28.46%,"哈尔滨工程大学2024届推免1182人，保研本校约为640人，保研外校约为542人。
2024届保研部分去向：上海交通大学34人、中国科学技术大学22人、东南大学13人、清华大学12人（人数不精准）、西安科技大学约11人、南京大学7人、复旦大学5人、华江师范大学3人、北京大学3人、北京师范大学2人、同济大学1人、华南理工大学1人、中科院计算所4人、中科院自动化所2人、北京师范大学2人",1182,28.7%,1024,24.5%,943,22.5%,,20.8%,,20%,,,,,
54,北京,北京交通大学,,,,"在北京交通大学的保研同学中，有超过60%的同学选择了继续留在本校，对本校认可度非常高。
保研外校占比35%左右，其中中国科学院、清华大学、北京大学、浙江大学、华南理工大学录取人数较多",1123,27%,1033,25.4%,868,22.42%,,21.4%,,20.2%,,,,,
55,陕西,西安电子科技大学,,,,据统计，2024届西安电子科技大学的推免生中，保研外校约703人。主要去向是985高校，如北京大学、上海交通大学、复旦大学、清华大学、南开大学、中国科学院大学等,1493,25.35%,1297,23.53%,1208,21.88%,,20.1%,,19%,,,,,
56,江苏,南京航空航天大学,南京航空航天大学,1209,26.72%,"在保研去向中，南航有相当一部分同学被保送至以清华大学、东南大学和北京航空航天大学为代表的“985”院校，占到了保送外校人数的一半以上。
其中，保研外校中拟录取人数最多的是东南大学和北京航空航天大学。",1123,25.5%,987,22.4%,875,20.16%,,18.6%,,17.2%,,,,,
57,上海,上海财经大学,上海财经大学,479,23.43%,总体来看，上海财经大学的推免生选择保研本校的人数平均占比较高，超过50%的人留在了上财本校，由此也可说明上财在财经类学科上的吸引力是较强的。外保院校包括清北复交人等顶尖院校，近三年来，保研到复旦大学的人数明显增多,464,22.8%,402,21.07%,372,19.01%,,17%,,14.2%,,,,,
58,江苏,中国矿业大学(北京）,,407,19.11%,"保研本校人数约为三分之一，其余同学选择保研外校，且基本为双一流顶尖高校。
其中，保研外校中人数较多的是中科院、东南大学、山大、中科大、湖大、重大、西安交大、西工大、天大、浙大、华科大、中南、华工和西安电子科技大学等国内顶尖院校",1273,22%,1136,19.2%,1084,18.78%,,17.4%,,17.4%,,,,,
59,江苏,南京理工大学,,,,据统计，2024届南京理工大学的推免生中主要去向是北京大学、上海交通大学、复旦大学、清华大学、南开大学、中国科学院大学等,989,26.75%,950,23.24%,867,21.39%,,19.2%,,18.4%,,,,,
60,北京,对外经济贸易大学,对外经济贸易大学,503,22.37%,"保研本校人数约为五分之二，其余同学选择保研外校，且基本为双一流顶尖高校。
其中，保研外校中人数较多的是中国人民大学、北京大学、清华大学、复旦大学、上海交通大学、北京师范大学、中国科学院大学、北京外国语大学、南开大学等国内顶尖院校",509,20.6%,459,21.16%,421,21.92%,,19.12%,,16%,,,,,
61,北京,中央财经大学,,661,20.59%, ,522,20.59%,470,18.39%,440,15.24%,,15.2%,,13.1%,,,,,
62,吉林,东北师范大学,东北师范大字,542,5%,北京师范大学、华东师范大学、南开大学、中国科学院大学、安徽大学、上海外国语大学、外交学院等,710,18.96%,,18.1%,,18.71%,,23.1%,,23.1%,,,,,
63,北京,北京工业大学,北京工业大学,636,17.52%,据统计，2024届北京工业大学的推免生中主要去向是北京大学、上海交通大学、复旦大学、清华大学、南开大学、中国科学院大学等。另外还有部分同学保研到了北京科技大学、东北大学、哈尔滨工业大学、河海大学、华中师范大学、陕西师范大学、同济大学、上海大学、浙江大学、延边大学等院校。,590,18.6%,,12.73%,420,10.52%,,,,,,,,,
64,江苏,南京师范大学,,,,"统计了2023南京师范大学保研来源排名前15的院校，保研来源人数最多的院校是南京师范大学本校，其次是安徽师范大学，再就是扬州大学。
●来自南京师范大学本校的930名推免生中，数学专业的学生最多，有32人。各个学科教学类专业的学生共有158人，总的来说教育类专业人数最多。
●来自安徽师范大学的推免生分布在自然地理学、数学、中国史等24个专业。
●来自扬州大学的教育类专业推免生最多。",806,17.44%,566,16%,656,15.06%,,14.49%,,13.59%,,,,,
65,安徽,安徽大学,安徽大学,936,11.82%, ,827,14.04%,809,13.95%,782,14.08%,,14.2%,,14.3%,,,,,
66,江苏,江南大学,江南大学,877,16.85%,"保研本校人数约为五分之二，其余同学选择保研外校，且基本为双一流顶尖高校。
其中，保研外校中人数较多的是华南理工大学、上海财经大学、华东政法大学、北京大学、上海外国语大学、西南政法大学等国内高水平院校",842,17%,70,15.5%,721,14.58%,,12.4%,,12.4%,,,,,
67,安徽,合肥工业大学,,1353,16.35%,"官方数据显示，合工大保研本校人数每年约在100人左右，占比较小，大部分同学选择保研外校。
保研外校中，保研去向较多的学校是中国科技大学及中国科学院各研究所、东南大学、浙江大学、西北工业大学、中南大学、湖南大学等，上述院校均超过40人。
总体来看，合肥工业大学的保研去向中，985高校录取占比非常高，超过70%，保研质量较高。",1252,15.59%,1159,14.4%,1112,13.61%,,12.6%,,11.9%,,,,,
68,湖北,中南财经政法大学,中南财经政法大学,746,14.71%,"近年来，中南财经政法大学的推免生选择保研本校的平均占比在25%左右，其余人则选择了保研外校。保研外校中，学校分散程度也较高，共有超过50所院校有录取。
录取人数10人以上的院校有：厦门大学、中国政法大学、厦门大学、中国人民大学、武汉大学、对外经济贸易大学等政法和财经类强校或综合类大学中的优势学科",747,14.73%,664,12.41%,617,12.31%,,10.7%,,10.2%,,,,,
69,云南,云南大学,云南大学,614,13.65%,据统计，2024届云南大学575名推免生中，保研外校的去向主要有：北京大学、中国科学院大学、武汉大学、上海外国语大学、中南大学等。此外，云南大学（研究生院）2024年拟录取推免生321人，其中直博生1人、硕士推免生320人，较上年明显增加。,575,15%,552,13.3%,536,12.2%,,10.7%,,10.5%,,,,,
70,江苏,苏州大学,苏州大学,1014,15.54%,"根据苏州大学今年来保研同学的院校去向情况，三分之一的同学选择留在本校，其他三分之二则选择了去往外校，这一数据间接说明苏大对保研同学还是具备相当的吸引力的。在保研外校的院校中，双一流院校录取高达98%，985院校录取超过50%，说明苏州大学的保研质量非常可观的。
同时，985院校中复旦大学、南京大学、东南大学等国内前列985院校录取人数也均在30人以上",850,12.71%,821,12.27%,816,12%,,10.6%,,10.12%,,,,,
71,广东,南方科技大学,,,,"保研本校人数约为三分之二，其余同学选择保研外校。其中，保研到北京大学的共有7人，占比约2.08%。保研到上海财经大学的，共有5人，占比约1.48%。
南科大每年都有不少同学通过自己的努力成功上岸清北，也有同学保研到了上海交通大学、中国科学院大学等国内顶尖院校，总体保研质量很高。另外，上海财经大学等专业性很强的院校每年也会接收一定数量的南科大推免生，这些院校在行业内的认可度很高，也是非常不错的选择。",337,30.8%,307,28.85%,297,29%,,23.09%,,23.1%,,,,,
